objID,ra,dec,z,lgm_tot_p50,sfr_tot_p50,oh_p50
1237660958105272676,118.5709987131,22.0849257666817,0.04772352,9.887146,-0.02976523,8.825988
1237662264863818136,238.343335976544,6.91180730799004,0.0394011,9.941154,-0.1012244,8.976762
1237661852550496323,208.424794240304,43.7688209147905,0.03346445,9.008368,-0.4091318,8.3806
1237667107422667370,118.343979990627,13.2176298794716,0.0478403,9.987166,0.1945248,8.956156
1237657628435874165,127.065433038633,33.7823386100294,0.04500021,10.09675,0.02534829,8.763872
1237665127484817629,223.541277106209,27.8566760440498,0.03349284,9.725446,-0.1474667,8.898052
1237651540327268445,210.784282268831,66.5065755028418,0.03162483,9.240067,-0.1379903,8.657032
1237673708259377285,141.020175035095,2.12156823515309,0.03679658,10.48178,0.1395381,9.067187
1237660961860878484,127.280091629986,27.9486128854947,0.04204657,9.397943,0.08661241,8.54541
1237657774461682149,120.038775418535,28.2174523426201,0.04307983,9.6819,0.002601166,8.854344
1237665025983512687,198.074308925102,35.0098466983095,0.03832687,9.565479,-0.1655136,8.72494
1237665565530849320,208.487703952268,22.6756616828248,0.03485769,10.26245,-0.01376804,8.851596
1237662663218036982,242.229286700354,24.8115063696517,0.03288903,9.740324,-0.7684684,8.560606
1237664852041662585,234.600037385545,25.4470141411594,0.04971725,10.40553,-0.05440779,8.965954
1237662301907714241,240.258102407838,36.5910437103681,0.03128309,10.34599,0.03478887,8.965718
1237662264324587887,232.864980256814,7.20297788337283,0.03397225,9.977813,-0.4399483,9.146913
1237660765911187666,128.79869859593,30.3584854564915,0.04545632,9.660424,-0.01717023,8.766172
1237651249874731182,131.015853703957,50.1855983021229,0.04245318,10.51505,0.4966743,9.099252
1237662666964468202,250.242768502983,22.2526294324217,0.03484961,9.551778,-0.7467262,9.006038
1237667442436997195,192.195217519847,26.7486071456004,0.04516598,9.544348,0.3923953,8.703546
1237667734524788936,223.463310718848,17.3955228323712,0.04317696,9.534578,-0.4282805,8.679086
1237662224596598804,162.301045606524,37.445015615099,0.04022795,9.462924,0.07901557,8.610968
1237667211055202442,156.440170755784,26.6644868236917,0.03818524,9.980364,0.1370477,8.834748
1237652944247193808,355.615605137249,15.5322607171084,0.03976039,9.718901,-0.1774509,8.870623
1237659324418818080,246.051842320088,38.6177047112313,0.03438394,10.42057,0.5609757,9.186106
1237662199357898914,228.980369867502,9.22647427661144,0.03419288,9.611103,-0.1054123,8.829531
1237667446727835781,179.966782107685,24.2922308015095,0.04820341,9.883075,0.1612409,9.008369
1237658312407122059,198.256783342603,59.5552144495509,0.04446361,9.602173,-0.2242759,8.872968
1237665369043370154,166.244238372546,31.4175995262664,0.04681616,9.983994,0.03614144,9.069813
1237659324955689382,246.34824894246,38.8064972215669,0.03163466,10.60058,0.4616173,9.109943
1237661959910195401,218.538336910904,48.3383813889793,0.03630378,9.658537,-0.5058607,9.059977
